"Sampling Time
year/month",City Name,E1 Concentration,地区生产总值万元,第一产业增加值万元,第二产业增加值万元,第三产业增加值万元,第一产业增加值占GDP比重,第二产业增加值占GDP比重,第三产业增加值占GDP比重,人均地区生产总值元,户籍人口万人,城镇户籍人口万人,非农业人口数万人,年平均人口万人,年末总户数万户,出生人口人,死亡人口人,自然增长率,常住人口万人,城镇非私营单位从业人员数万人,城镇私营和个体从业人员数人,年末城镇登记失业人员数人,第一产业从业人员数万人,第二产业从业人员数万人,第三产业从业人员数万人,第一产业从业人员比重,第二产业从业人员比重,第三产业从业人员比重,农林牧渔业从业人员数万人,采掘业从业人员数万人,制造业从业人员数万人,电力煤气及水生产供应业从业人员数万人,建筑业从业人员数万人,交通仓储邮电业从业人员数万人,信息传输计算机服务和软件业从业人员数万人,批发零售贸易业从业人员数万人,住宿餐饮业从业人员数万人,金融业从业人员数万人,房地产业从业人员数万人,租赁和商业服务业从业人员数万人,科研技术服务和地质勘查业从业人员数万人,水利环境和公共设施管理业从业人员数万人,居民服务和其他服务业从业人员数万人,教育业从业人员数万人,卫生社会保险和社会福利业从业人员数万人,文化体育和娱乐业从业人员数万人,公共管理和社会组织从业人员数万人,地质勘察水利管理业从业人数万人,交通仓储邮电通信业从业人员数万人,批发零售贸易餐饮业从业人员数万人,社会服务业从业人员数万人,卫生体育社会福利业从业人员数万人,教育文艺广播影视业从业人员数万人,科研综合技术服务业从业人员数万人,机关和社会团体从业人员数万人,城镇非私营单位在岗职工平均人数万人,城镇非私营单位在岗职工工资总额万元,城镇非私营单位在岗职工平均工资元,行政区域土地面积平方公里,年末耕地总资源千公顷,人均占有耕地面积亩,人口密度人平方公里,水资源总量万立方米,地区生产总值增长率,粮食产量万吨,油料产量万吨,蔬菜产量吨,水果产量吨,肉类产量吨,奶类产量吨,水产品产量吨,禽蛋产量吨,规模以上工业企业数个,内资企业数个,港澳台商投资企业数个,外商投资企业数个,规模以上工业总产值当年价万元,内资企业工业总产值万元,港澳台商投资企业工业总产值万元,外商投资企业工业总产值万元,从业人员年平均人数万人,规模以上工业企业产品销售收入万元,规模以上工业企业利税总额万元,本年应交增值税万元,规模以上工业企业利润总额万元,流动资产年平均余额万元,固定资产净值年平均余额万元,规模以上工业企业流动资产合计万元,规模以上工业企业固定资产合计万元,规模以上工业企业主营业务税金及附加万元,固定资产投资总额万元,房地产开发投资完成额万元,住宅开发投资完成额万元,社会消费品零售总额万元,限额以上批发零售业商品销售总额万元,限额以上批发零售业法人企业数个,当年新签项目合同个数个,当年合同外资金额万美元,当年实际使用外资金额万美元,货物进口额万元,货物出口额万元,地方财政一般预算内收入万元,工商税收万元,地方财政一般预算内支出万元,科学支出万元,教育支出万元,年末金融机构各项贷款余额万元,年末金融机构存款余额万元,城乡居民储蓄年末余额万元,普通高等学校学校数所,普通中学学校数所,小学学校数所,中等职业教育学校数所,普通高等学校专任教师数人,普通中学专任教师数人,小学专任教师数人,中等职业教育学校专任教师数人,普通高等学校在校学生数人,普通中学在校学生数万人,小学在校学生数万人,高中阶段在校学生数人,中等职业教育学校在校学生数人,成人高等学校在校学生数人,每万人在校大学生数人,每万人在校中等职业学生数人,公共图书馆个,剧场影剧院数个,公共图书馆图书总藏量千册件,每百人公共图书馆藏书册件,卫生机构数个,医院卫生院数个,医院卫生院床位数张,执业助理医师数人,客运总量万人,铁路旅客运量万人,公路客运量万人,货运总量万吨,铁路货物运量万吨,公路货运量万吨,年末邮政局所数处,邮政业务收入万元,电信业务收入万元,本地电话年末用户数万户,移动电话年末用户数万户,国际互联网用户数户,全年用电量万千瓦时,工业用电万千瓦时,城镇居民生活用电量万千瓦时,境内公路总里程公里,高速公路里程公里,工业废水排放量万吨,工业废水排放达标量万吨,工业二氧化硫去除量吨,工业二氧化硫排放量吨,工业烟尘去除量吨,工业烟尘排放量吨,工业二氧化硫产生量吨,工业烟粉尘去除量吨,工业烟粉尘排放量吨,工业氮氧化物排放量吨,工业颗粒物排放量吨,生活污水处理率,生活垃圾无害化处理率,工业固体废物综合利用率,一般工业固体废物综合利用率,污水处理厂集中处理率,细颗粒物PM25年平均浓度微克立方米,保险业承保额万元,城镇职工基本养老保险参保人数人,职工基本医疗保险参保人数人,失业保险参保人数人,提供住宿的社会工作机构数个,养老机构数个,提供住宿的社会工作机构床位数张,养老机构床位数张
2008.07 and 2008.11,panjin,2.2,6750045,689180,4891083,1169783,10.21,72.459999,17.33,51214,129.2,71,104.7,128.705,47,19351,105937,2.9000001,103,51,154709,12730,20.4,18.799999,11.42,40,37,23,20,12,4,1,2,1,0,1,0,1,0,3,0,0,0,1,1,0,2,0,1,1,1,7,1,0,1,47,1083198,22905,4071,129,2,317,188560,11,113.57,0.08,1027297,11938,99692,23210,299900,65094.125,411,383,7,21,11528606,11277574,65680,185352,17,11328600,13521.61,451900,956600,4200500,6151039,5762561,6085523,423152,3670185,407458,350016,1325648,1072113,78,18,5899,8390,,135000,349116,1123,582878,4389,79153,2423670,5945497,3902326,2,76,185,6,500,5015,5606,399,6085,7.2399998,7.9000001,25769,14088,985.11111,55,91,5,3,401,31,659,67,5685,2512,2120,100,2020,5415,223,5180,78,11645,90000,53,74,167000,163422,110402,,2640,141,2072,1767,15500,18036,138659,6094,45711,,29510,31818,8877,54,91,86,92,100,76,427056,490193,688572,238626,,,,
2008.07 and 2008.11,tieling,2.55,5363280,1157396,2754044,1451840,21.58,51.349998,27.07,17543,305.92999,135,97.980003,305.085,105,27593,167171,3.0999999,286,22,151593,16399,2.0799999,8.8999996,11.52,9,40,51,2,4,2,1,1,1,0,0,0,1,0,1,1,1,0,3,1,0,3,0,1,2,1,1,3,0,0,22,475693,21189,12980,543,5,236,2166708,20,361.45999,19.209999,3132280,197872,474189,152238,17573,219342.13,1242,1191,16,35,9136851,8458926,334198,343727,17,8955831,52924.53,192995,213697,1630401,1963225,818271,1930526,8270,5071180,565309,464732,1631227,633066,56,20,42920,12021,1452930,,330900,69341,773945,10699,122169,3399254,4485592,3289352,2,131,613,24,569,9174,11199,639,7711,14.64,17.030001,65409,18668,2513.7778,4,63,9,2,625,20,1109,119,7305,5255,4725,569,4156,7248,1405,5843,143,11913,120000,78,108,167200,502495,376688.5,,12252,346,2069,1629,7051,78304,2175702,25503,253700,11771964,38724,12861,7576,84,86,46,73,60,120,5333702,437521,1860401,626755,,,,
2008.07 and 2008.11,yingkou,4.95,7035683,616326,4043407,2375950,8.7600002,57.470001,33.77,30177,233.8,134,108.31,233.46625,79,31469,121353,3,257,17,348546,17162,0.15000001,6.3600001,10.93,1,36,63,0,0,5,1,1,1,0,0,0,1,0,1,0,1,0,2,1,0,3,0,1,1,1,1,3,0,2,18,401843,22462,5402,112,1,433,228725,20.299999,73.809998,0.08,800259,588979,136069,11370,470334,130032,1266,1022,48,196,12352081,8354427,828928,3168726,16,12043191,132557.48,229344,59382,3569829,3855710,3582446,6228089,173612,5430706,555391,501386,1783979,847002,39,119.6,134798,32035,,5444524,400052,86071,772788,7000,99586,4734322,6259180,4445539,2,99,319,23,883,7595,7812,1855,10845,12,14.05,75204,33025,2242.8889,39,134,8,4,947,40,1366,118,8425,4776,4084,398,3686,10130,1788,7861,72,8369,153622,69,118,194497,36556,,6259,4677,189,4914,4899,29411,81705,1012041,59761,2943,2445738,95846,,69230,51,19.5,100,76,52,70,1564740,1215499,,215256,98,94,8129,6853
2008.07 and 2008.11,anshan,6.575,16078635,731578,8786974,6560083,4.5500002,54.650002,40.799999,45830,351.42001,205,177.17,350.78375,111,70482,128341,2.5999999,372,38,151423,31821,0.69999999,20.299999,17,2,53,45,1,1,15,1,4,1,0,1,0,1,0,1,1,1,0,4,2,0,3,0,0,2,2,0,5,1,3,37,1075710,29120,9252,240,1,380,817208,16.6,144.00999,1.91,1814433,223453,310174,21974,46789,369003.38,1253,1154,35,64,18045961,17042608,404543,598810,27,18084882,2634648,933533,1354744,7752541,6626367,9013910,9608039,309041,7001951,1071599,816124,3682861,5929000,240,19,40838,58161,1115196,77522,1000194,457252,1564864,15135,190912,6994803,13975939,9062016,3,169,723,30,1927,11871,12438,2464,33574,17.549999,20.07,99785,48227,12533.389,101,53,9,11,1970,56,1892,147,14973,6753,6869,656,6213,9035,2144,6891,109,16520,240000,148,222,341900,252184,288090,43223.5,8329,229,5319,5080,21040,99706,2253174,40233,64918,4388488,29190,65245,,29,100,19,29,44,70.5,49385700,962075,1073939,590693,291,290,26832,26732
2008.07 and 2008.11,liaoyang,14.1875,5666088,350164,3597399,1717958,6.1799998,63.490002,30.32,30897,183.39,,80.07,183.20625,68,41631,188562,1,188,17,124002,16812,0.47,9.0799999,7.9099998,3,52,45,0,0,6,1,2,0,0,0,0,1,0,0,0,1,0,2,1,0,2,0,1,1,1,1,2,0,2,18,441887,25179,4743,178,1,387,717076,16,90.559998,0.75999999,665203,106278,133893,32478,85722,139302.63,640,579,17,44,11974669,9908722,1250881,815066,12,11841854,134209,146471,492916,4152531,3359885,5011006,3240636,369395,2348230,308410,221868,1496496,769283,34,33,37726,20038,757857,828487,354064,104683,591895,6848,82930,3212584,5412519,3971969,3,62,327,11,1056,5638,5591,1098,18184,8.7200003,10.97,48587,16637,240.94444,98,54,9,4,744,41,648,117,8960,3629,4138,332,3807,7257,1544,5713,97,10750,119445,56,82,186230,39223,10067,8871,2030,159,4862,4443,20513,34352,111886,25456,,859082,,24141,112343,80,58,94,69,74,29,6943961,478794,741933,206513,58,58,10069,9819
2008.07 and 2008.11,shenyang,12.58335,38604745,1837586,19340977,17426182,4.7600002,50.099998,45.139999,54248,713.51001,3404,460.48999,711.55377,209,112784,258032,-0.80000001,,104,653981,75542,0.62,41.200001,62.599998,1,39,60,1,2,31,3,5,12,1,5,2,4,2,2,4,3,1,11,6,2,9,1,10,0.61175714,7,5,13,3,8,99,3312308,33546,12980,684.5,1,550,1748400,16.309999,358.67001,11.63,3567179,174744,715319,332944,187043,555001,4659,4013,141,505,64243103,49738142,3220596,11284365,73,61739418,406320.95,997042,2376732,21617441,12512195,20397591,21254870,399741,30086534,10109145,7294950,15055377,36560624,751,518,1717034,600138,,6041862,2910381,468191,4067372,125526,598921,35261608,52759189,24717753,30,334,545,129,21685,24052,23336,8131,327059,33.419998,35.630001,234239,125130,90764.722,470,192,21,59,9451,132,1767,305,33890,19643,11040,3581,7082,20732,466,20260,207,46000,908700,348,513,1077000,1688367,939331,224017,16153,425,7369,6740,29537,92665,924340,62868,117362,2587132,43339,65252,11306,77,100,92,103,79,54,73960435,2698743,3060302,1062465,18,,10209,2105
2008.07 and 2008.11,fushun,5.2333,6624377,442508,3759996,2421872,6.6799998,56.759998,36.560001,29645,223.19,152,147.3,223.33999,84,33357,303336,-0.89999998,230,27,300307,37908,0.61000001,15.64,10.74,2,58,40,1,3,9,1,2,1,0,1,0,1,0,0,0,1,0,2,1,0,3,0,1,1,2,1,3,0,0,26,743258,28100,11272,126,1,198,2086500,16,60.650002,0.17,382463,65293,95307,32948,15802,90329,847,753,21,73,11551307,10677530,215215,658562,16,11357369,43261.468,263337,43699.507,4792606,2962532,3754401,3266052,567841,3807397,399975,341599,2862763,3644075,51,16,23582,13386,389280,722628,451745,133153,881129,7989,94666,2317170,6572313,4742345,3,134,248,40,1785,7575,7643,1624,35474,10.11,9.46,59793,21540,4091.4444,144,85,7,15,1009,45,669,145,9308,4074,3346,480,2866,6861,2309,4552,89,8810,130000,86,125,252200,465201,349115,37173,6987,326,5647,5367,15301,74152,1492528,35833,174111,2987876,7472,62202,34853,57,100,56,,62,74,30057728,817114,,516233,176,172,14200,22038
2008.07 and 2008.11,benxi,1.225,6108589,345135,3873456,1889997,5.6500001,63.41,30.940001,39199,155.66,113,104.27,155.70875,56,22541,156831,-0.5,160,24,130320,30732,0.22,13.7,10.03,1,57,42,0,2,9,1,2,1,0,1,0,1,0,0,0,0,0,2,1,0,2,0,1,1,1,1,2,0,2,24,595124,25079,8411,68,1,185,1720300,15,27.299999,0.11,245801,57480,97835,21006,16627,50392.25,551,509,14,28,9161614,8968923,82558,110133,14,10661844,148168.06,369220,348430,4122376,5690604,4464287,7426831,,2240659,384512,277254,1415714,531594,27,13,10960,11305,,10410772,424369,133960,758951,8070,131477,3418157,5270055,3614017,1,63,82,21,1228,7327,6656,2413,10041,7.5999999,7.1300001,53490,26996,4954.6111,96,212,7,7,800,51,253,89,8845,3699,5021,2148,2873,8647,2898,5749,84,7790,100000,48,88,162900,903041,807866,27973,4229,233,7752,7613,32269,103330,226526,34562,56529,18457511,110253,20720,45946,84,80,38,11,109,104,10439086,759254,635197,383294,58,118,24641,25846
2017.07,zhengzhou,1.805,91937800,1518388.5,41237063,48530969,1.69,45.335001,52.974998,93792,842,510,336.96002,835,224,160788,55000,12.6,1223,208,1737325,60851,0.23,108.74,98.580002,0,52,48,0,5,69,3,32,8,4,10,3,9,7,7,6,2,1,15,10,2,15,1,3,0,21,0,12,2,7,190,13397786,70486,7446,320,1,746,55120,8.3850002,153.14999,11.68,2514000,545500,249600,217000,147188,128000,2845,2745,46,54,1.528e+08,1.159e+08,29584916,7291256,110,1.323e+08,92237.757,2551346,10713003,27749014,8035035,80698776,36701771,1389305,77092845,33588413,24186617,40572205,56512694,1935,79,906960,404969,16041314,24759752,10566713,241685,15149533,339602,1759635,1.799e+08,2.035e+08,65382301,58,442,922,151,48858,42981,39424,11856,935332,56,87,196476,302648,144742,1381,482,13,14,7700,106,4888,219,79725,38049,19602.833,5151,8815,3027,2769,22073,247,746477,1390499,186,1506,3200000,5432187,3079457,665321,11220,623,8243,27787,7532.2856,24546,8944976,218,157303,7779083,16890,25073,10864,97,100,29,80,98,68,47134176,3778000,1642000,1893282,151,145,25802,24800
2017.07,zhoukou,2.67,24597000,4532796,11264912,8958994,18.459999,45.540001,36.004999,27978,1258,293,220.87006,1258,337,199438,148646,4,937,69,660367,29281,0.13,33.419998,35.52,0,48,51,0,0,23,0,10,2,1,3,0,2,1,1,1,0,0,11,4,0,9,0,2,6,1,2,0,0,8,66,3329775,50259,11961,854,1,1052,268066,8.3499999,881.78998,38.119999,10954300,5610000,737900,116700,73090,502200,1274,1252,12,10,52244094,49683743,455591,2104760,34,32064259,54551.71,392367,5859762,5499000,8428814,11175397,16888391,321336,21170052,2172156,1722865,12271617,5381550,513,4,833.83241,53557,138637,705415,1118253,12034,5133367,33729,1016845,10986578,26869252,21855844,3,565,2482,37,2392,46795,54100,3413,42530,70,92,295006,48845,11605,55,41,11,9,980,6,10284,140,27661,16413,1691.1431,92,6119,14315,759,14201,200,128653,413890,4,633,1310000,991604,428627,105857,11293,519,1925,4247,13375,2584,120758.06,630.16285,10360,95291,1315,2296,,182,93,78,98,95,60,17421411,628991,585691,398663,256,235,14097,13097
