"Sampling Time
year/month",City Name,OP Concentration,地区生产总值万元,第一产业增加值万元,第二产业增加值万元,第三产业增加值万元,第一产业增加值占GDP比重,第二产业增加值占GDP比重,第三产业增加值占GDP比重,人均地区生产总值元,户籍人口万人,城镇户籍人口万人,非农业人口数万人,年平均人口万人,年末总户数万户,出生人口人,死亡人口人,自然增长率,常住人口万人,城镇非私营单位从业人员数万人,城镇私营和个体从业人员数人,年末城镇登记失业人员数人,第一产业从业人员数万人,第二产业从业人员数万人,第三产业从业人员数万人,第一产业从业人员比重,第二产业从业人员比重,第三产业从业人员比重,农林牧渔业从业人员数万人,采掘业从业人员数万人,制造业从业人员数万人,电力煤气及水生产供应业从业人员数万人,建筑业从业人员数万人,交通仓储邮电业从业人员数万人,信息传输计算机服务和软件业从业人员数万人,批发零售贸易业从业人员数万人,住宿餐饮业从业人员数万人,金融业从业人员数万人,房地产业从业人员数万人,租赁和商业服务业从业人员数万人,科研技术服务和地质勘查业从业人员数万人,水利环境和公共设施管理业从业人员数万人,居民服务和其他服务业从业人员数万人,教育业从业人员数万人,卫生社会保险和社会福利业从业人员数万人,文化体育和娱乐业从业人员数万人,公共管理和社会组织从业人员数万人,地质勘察水利管理业从业人数万人,交通仓储邮电通信业从业人员数万人,批发零售贸易餐饮业从业人员数万人,社会服务业从业人员数万人,卫生体育社会福利业从业人员数万人,教育文艺广播影视业从业人员数万人,科研综合技术服务业从业人员数万人,机关和社会团体从业人员数万人,城镇非私营单位在岗职工平均人数万人,城镇非私营单位在岗职工工资总额万元,城镇非私营单位在岗职工平均工资元,行政区域土地面积平方公里,年末耕地总资源千公顷,人均占有耕地面积亩,人口密度人平方公里,水资源总量万立方米,地区生产总值增长率,粮食产量万吨,油料产量万吨,棉花产量万吨,蔬菜产量吨,水果产量吨,肉类产量吨,奶类产量吨,水产品产量吨,禽蛋产量吨,规模以上工业企业数个,内资企业数个,港澳台商投资企业数个,外商投资企业数个,规模以上工业总产值当年价万元,内资企业工业总产值万元,港澳台商投资企业工业总产值万元,外商投资企业工业总产值万元,从业人员年平均人数万人,规模以上工业企业产品销售收入万元,规模以上工业企业利税总额万元,本年应交增值税万元,规模以上工业企业利润总额万元,流动资产年平均余额万元,固定资产净值年平均余额万元,规模以上工业企业流动资产合计万元,规模以上工业企业固定资产合计万元,规模以上工业企业主营业务税金及附加万元,固定资产投资总额万元,房地产开发投资完成额万元,住宅开发投资完成额万元,社会消费品零售总额万元,限额以上批发零售业商品销售总额万元,限额以上批发零售业法人企业数个,当年新签项目合同个数个,当年合同外资金额万美元,当年实际使用外资金额万美元,货物进口额万元,货物出口额万元,地方财政一般预算内收入万元,工商税收万元,地方财政一般预算内支出万元,科学支出万元,教育支出万元,年末金融机构各项贷款余额万元,年末金融机构存款余额万元,城乡居民储蓄年末余额万元,普通高等学校学校数所,普通中学学校数所,小学学校数所,中等职业教育学校数所,普通高等学校专任教师数人,普通中学专任教师数人,小学专任教师数人,中等职业教育学校专任教师数人,普通高等学校在校学生数人,普通中学在校学生数万人,小学在校学生数万人,高中阶段在校学生数人,中等职业教育学校在校学生数人,成人高等学校在校学生数人,每万人在校大学生数人,每万人在校中等职业学生数人,公共图书馆个,剧场影剧院数个,公共图书馆图书总藏量千册件,每百人公共图书馆藏书册件,卫生机构数个,医院卫生院数个,医院卫生院床位数张,执业助理医师数人,客运总量万人,铁路旅客运量万人,公路客运量万人,货运总量万吨,铁路货物运量万吨,公路货运量万吨,年末邮政局所数处,邮政业务收入万元,电信业务收入万元,本地电话年末用户数万户,移动电话年末用户数万户,国际互联网用户数户,全年用电量万千瓦时,工业用电万千瓦时,城镇居民生活用电量万千瓦时,境内公路总里程公里,高速公路里程公里,工业废水排放量万吨,工业废水排放达标量万吨,工业二氧化硫去除量吨,工业二氧化硫排放量吨,工业烟尘去除量吨,工业烟尘排放量吨,工业二氧化硫产生量吨,工业烟粉尘去除量吨,工业烟粉尘排放量吨,工业氮氧化物排放量吨,工业颗粒物排放量吨,生活污水处理率,生活垃圾无害化处理率,工业固体废物综合利用率,一般工业固体废物综合利用率,污水处理厂集中处理率,细颗粒物PM25年平均浓度微克立方米,保险业承保额万元,城镇职工基本养老保险参保人数人,职工基本医疗保险参保人数人,失业保险参保人数人,提供住宿的社会工作机构数个,养老机构数个,提供住宿的社会工作机构床位数张,养老机构床位数张
2019.12 and 2020.01,suqian,106.499586,30990000,3244653,13242027,14503320,10.47,42.73,46.799999,62840,592,319,321.11998,592,153,61649,35263,4.4000001,499.33333,41,1165305,11068,0.04,20.219999,20.85,0,49,51,0,0,15,0,5,1,0,2,0,1,1,2,0,1,0,5,2,0,4,0,1,0,18,1,0,0,2,38,2755581,72473,8524,431.33005,1,711,122815,7,417.27997,3.27,0.041,5364600,106000,224600,76800,245400,166000,1781,1685,48,48,47968400,41642052,4887036,1439312,74,21121527,15192.025,810258,2575000,5075681,3709000,14845400,8257564,541744,27214208,3258110,2819352,13204473,10622027,437,70,190862,44556,371257,1989655,2126000,,5057400,148400,843300,30838200,31033700,15275300,3,193,170,17,1188,19138,27780,3082,23327,30,56,84239.948,54045,10934,35,21.014292,0,31,2520,29,2081,235,29154,13929,7394,105,4644,8095,57,9688,134,271507,384336,11,493,1800000,2092200,1375100,147788,12316,247,6662,12741,68447,20164,215162,13194,30867,260170,4564,4128,15964,44,100,82,81,95,49,761338,812450,580000,360900,215,151,54996,54564
2019.12 and 2020.01,nanjing,440.5484066,1.403e+08,2876355,50413383,87020262,2.05,35.93,62.02,165681,710,577,911.89969,703,253,67572,38533,4.0999999,924.33333,203,4730511,60800,0.07,68.239998,134.21001,0,34,66,0,0,40,1,26,10,17,16,6,7,8,13,10,2,1,19,9,3,13,1,0,0,7,4,12,3,6,182,23631862,129605,6587,231,1,1015,87500,7.8000002,111.13,0.40999985,0.021,3724800,608700,28100,108400,128800,73800,2707,2169,166,372,1.306e+08,77919452,11979948,40747500,153,1.359e+08,430875.93,2514376,6467300,73444437,34144507,72574000,32075527,4732790,58563304,25012573,17358489,71363249,1.584e+08,3380,744,1221272,410058,18213000,30068500,15800300,268333,16580700,976200,2890500,3.359e+08,3.554e+08,82996400,53,246,373,19,53296,25591,30137,3762,877894,26,45,72359.656,50672,224115,1256,70.121816,24,108,23250,930,2375,248,53499,35735,18453,5054,8229,39929,628,22121,184,1224442,1462174,136,1308,5370000,6215300,3272600,764772,9840,492,13021,17251,1610357,9969,8244346,57368,98865,11211008,31287,26108,23624,59,100,98,86,85.333333,40,5.227e+08,3257200,4555845,3086400,303,292,43404,40648
2019.12 and 2020.01,zhenjiang,695.1159762,41270000,1403180,20048966,19821981,3.4000001,48.580002,48.029999,128981,270,187,132.05003,270,102,17960,19620,-0.60000002,320.33333,38,1175323,13426,0.04,16.530001,21.01,0,44,56,0,0,12,1,4,1,0,2,0,1,1,1,1,1,0,5,3,0,5,0,2,3,1,2,4,0,2,33,2931452,87012,3840,161.69006,1,704,67000,5.8000002,100.60001,1.1300001,0.04099999,1062700,275300,65700,16100,92600,48700,1953,1658,119,176,96799000,69464148,14888400,12446452,77,88221800,108202.99,917076,2137100,28582201,13328021,28425500,10539928,191922,38705337,4033662,3395221,11584948,13149663,595,119,1012187,65957,2299824,5416881,3068500,4910,4662500,183100,758400,52845800,56134800,24393200,8,109,113,10,6186,10215,10236,1565,100135,11,16,31784.148,19595,34350,334,26.200022,8,4,4120,139,843,53,11650,8469,6240,1564,2892,11446,6.235602,5613,105,236960,332298,43,371,1620000,2643900,1901000,158737,6906,176,5052,4357,664048,6058,223041,13653,354049,4407123,4447,10274,3025,57,99,138,95,90,45,196888.13,854376,1010541,540006,155,150,20235,19792
2019.12 and 2020.01,yangzhou,403.7639789,58500000,2930850,27781650,27793350,5.0100002,47.490002,47.509998,128856,457,314,613.13994,458,148,31843,34572,-0.60000002,455,86,1454966,87411,0.1,57.959999,27.74,0,68,32,0,1,17,1,40,2,1,3,1,1,1,2,2,1,0,5,2,0,5,0,2,0,1,2,5,0,3,81,6648868,81837,6591,301.49014,1,695,58110,6.8000002,289.29996,1.23,0.00937336,1944400,285800,144600,13400,387500,109000,3033,2755,130,148,1.106e+08,76226860,14241392,20172048,245,1.284e+08,227088.04,965931,2089081,36042327,12787106,27238100,13341739,368894,45842699,6961827,5026692,14232000,14690979,968,155,1441906,138756,2025896,5760049,3287900,28193,6119500,173400,977500,53748536,67004610,32175140,8,161,208,6,5700,16348,13809,1555,86964,18,22,65851.135,19530,30523,181,32.313361,7,6,5480,94,1287,76,17788,12557,5327,167,2931,16936,21,4898,180,319143,469212,79,525,1850000,2594037,1719450,238670,9576,280,7066,9817,552647,9714,202259.75,2283.0282,44474.541,442172,8708,17566,11782,96,100,106,94,89,43,40655626,1569837,1428790,725486,126,116,22380,21839
2019.12 and 2020.01,taizhou,385.8020698,51330000,2925810,25259493,23149830,5.6999998,49.209999,45.099998,110731,501,319,480.20004,502,166,35263,43357,-1.6,452.33333,95,1383108,16438,0.03,67.379997,27.209999,0,71,29,0,,19,0,48,2,1,3,0,3,1,2,1,1,0,5,3,0,5,0,2,0,1,2,5,0,3,78,6196335,79895,5788,305,1,874,62000,6.4000001,267.53998,4.8899994,0.04686681,3804000,213700,232500,67500,378900,151500,2576,2339,91,146,1.549e+08,1.300e+08,11114580,13872936,105,96379932,270832.58,1356238,3364200,30456460,21355406,33123100,12744609,354035,45422415,3525772,2849642,13505370,23630299,1303,126,781851,146864,3403296,6563732,3656700,,5942400,177500,758600,55317300,69661500,32751100,7,182,147,12,3317,18964,14261,1830,65793,18,23,25873.757,26096,15035,167,1.7466681,6,68,3660,63,1863,87,21562,13309,9548,29.704895,5907,21570,3,4979,174,251923,428538,60,490,2060000,2960000,2123600,161424,9866,317,4638,6168,139790,7750,366045,29858,747963,3889025,4914,12985,1861,16,100,55,96,87,41,54658807,1357758,1468866,692437,169,164,23338,22945
2019.12 and 2020.01,xuzhou,479.116068,71510000,6829205,28861436,35826510,9.5500002,40.360001,50.099998,81138,1042,651,481.74002,1043,282,106644,55763,4.9000001,910,74,1737687,32413,0.80000001,28.809999,44.599998,1,39,60,1,3,12,1,13,3,1,3,1,2,1,3,1,1,0,11,6,1,10,0,6,0,0,3,11,0,23,69,5415174,78568,11765,573.47003,1,895,353100,6,486.24002,11.789999,0.17399991,15412500,1364600,545600,207600,164200,675200,1778,1654,56,68,1.793e+08,1.654e+08,7625304,6319320,130,1.024e+08,177767.07,1182841,2475500,34637850,35562940,27756400,12357842,1747440,63909794,8529360,7105562,35331872,35248209,1975,212,27733.444,208997,1539911,7778847,4683200,150663,8822100,258900,1789600,58260700,81233500,40389800,10,353,930,25,8815,39269,50731,3999,134722,52,95,9659.2202,85251,46045,134,32.556557,8,9,4040,35,5216,177,43616,28042,19713,3198,9434,8410.9285,1039.4171,27576,235,364111,689407,47,961,3370000,3711300,2295400,280323,15977,464,3248,28363,970140,24104,29926838,26444,466178,3793373.1,38522,211,7424,35,100,100,98,95,57,54919223,2060117,1596548,827084,324,207,51493,47183
2019.12 and 2020.01,huaian,418.1144845,38710000,3863258,16173038,18677575,9.9799995,41.779999,48.25,78543,560,330,5.2200165,561,168,49227,36966,2.2,456.66667,46,1062049,18574,0.04,20.610001,25.280001,0,45,55,0,0,12,1,8,2,1,2,0,2,1,1,1,1,1,6,3,0,4,0,2,0,1,2,6,0,3,41,3178981,77874,10030,488,1,574,187000,6.5999999,496.96002,2.6100006,0.013,5493700,586900,180300,24500,262500,115900,1519,1357,87,75,81237800,77499896,705644,3032260,95,29947146,341327.42,626547,1435600,11561625,5914978,13618200,7544188,1205180,35310152,2864996,2154872,17454131,9720786,860,139,175766,104854,913000,2329000,2573100,5558.3978,5291500,90700,843200,38618000,41374900,18122300,7,201,241,15,4356,22582,23131,2820,75558,26,35,74285.685,51492,21029,120,23.58002,8,6.7319944,4170,57,2021,70,19996,14579,9485,240,5678,16722,134,4847,171,247115,356808,17.645233,484,1790000,1912600,1173700,175169,13604,404,2724,31670,292310,6809.5,239432,18803,55561,7617715,6488.5,9633,8121,68,100,91,102,85,43.5,179138,922783,888055,514836,263,216,32467,27555
2019.12 and 2020.01,yancheng,290.8881478,57020000,6198074,23714618,27107308,10.87,41.59,47.540001,79149,821,501,529.64999,823,270,59474,42349,2.0999999,671.66667,60,1199619,17462,0.97000003,24.959999,34.02,2,42,57,1,0,13,1,11,2,1,2,1,2,1,2,1,1,0,8,4,0,7,0,3,0.15836946,1,2,8,0,4,55,4697781,84779,16931,810.76025,1,489,311000,5.0999999,722.79999,3.8500004,0.07498689,14697500,3304600,699600,118300,1187400,1076900,2920,2639,96,185,1.196e+08,94565708,4926040,20133252,101,93250152,376874.75,602192,1602400,13157817,17720801,26595100,18936063,293210,54126664,4261476,3444630,22409970,16744219,1171,144,1547908,91314,2206443,4417325,3830000,21772,8775200,266400,1458900,58710800,70382000,36755600,6,292,335,13,3881,29050,27731,3991,67439,33,45,12533.03,55011,21843,73,23.373939,23,1.9536979,4990,59,2941,164,29368,19583,10637,280,6088,22002,203,11339,227,247893,564560,21,696,2820000,3276900,2152200,214568,17687,397,7345,46284,3445.7397,8273.5,171332.78,67160,97509,446402,9170,14504.5,6262,1.5380811,100,129,105,89,39,31832726,1206600,1372943,741217,220,208,38303,37809
2019.12 and 2020.01,lianyungang,302.3301284,31390000,3625545,13632677,14134917,11.55,43.43,45.029999,69523,534,311,277.85994,534,150,52604,28044,4.5999999,460.33333,43,771763,12139,0.34999999,15.67,26.68,1,37,62,0,0,9,1,6,3,0,2,0,2,1,2,1,1,0,6,3,0,5,0,3,0,1,1,5,0,2,44,3452188,81006,7616,363.80008,1,721,180000,6,365.70999,5.1400003,0.00937336,5733300,526200,189300,10100,706600,19383.471,942,828,39,75,75998200,57110160,3486292,15401748,41,40351333,72078.866,941324,2852600,16725672,27832003,15307700,12978759,291566,33085697,3174068,2629082,11628186,12674184,493,82,1031476,61402,3751518,2681331,2424400,59319,4660300,140700,862800,34602200,36215600,16219300,5,185,448,14,2378,23376,26890,2675,47006,28,45,7512.6216,49997,13651,77,7.8600066,7,37,3030,62,2598,90,18972,12870,6162,454,4063,23660,8946,11759,120,215845,356152,32,470,1750000,1836700,1088900,153524,12007,354,3484,8036,13042,6348,1324467,7554,62357,1198768,9690,13257,33103,42,100,92,96,92,42,43352455,1039562,804518,453162,173,161,22825,22495
2019.12 and 2020.01,wuxi,656.4197351,1.185e+08,1220756,56273296,61014096,1.03,47.48,51.48,180044,503,429,222.84979,500,172,37981,32074,1.2,744.66667,122,2488685,37610,0.08,68.360001,53.91,0,56,44,0,0,62,1,5,3,3,7,3,4,3,4,3,1,1,9,6,1,7,0,0,0,3,2,6,1,3,112,11850463,105759,4627,93,0,1076,211277,6.6999998,58.449997,0.16999996,0.041,1525600,454400,20858.296,10000,109000,1900,6215,5087,399,729,1.376e+08,79685612,14465676,43471012,327,2.242e+08,64628.201,2932501,12141500,1.231e+08,58933579,1.113e+08,37999784,764045,45091150,13582905,11146936,30243428,1.228e+08,2825,415,3526670,361977,25454758,38211543,10363300,10721.027,11175200,552100,1782000,1.356e+08,1.761e+08,63161200,12,192,210,33,7251,21897,23618,6701,119976,25,42,61369.522,66626,25644,244,22.706686,10,5.8610938,8960,164,2483,205,42210,23166,13072,3240,5148,22188,33.482353,17386,141,1017076,1047199,87,999,3950000,7508200,5633100,305099,8489,228,19840,2854.97,268345,28198,4500722,12683,332805,5431480,36204,42437,23408,57,100,43,96,97,39,68528584,2817400,3747779,2311604,,,3193,4017
