"Sampling Time
",城市,PFOA Concentration,地区生产总值万元,第一产业增加值万元,第二产业增加值万元,第三产业增加值万元,第一产业增加值占GDP比重,第二产业增加值占GDP比重,第三产业增加值占GDP比重,人均地区生产总值元,户籍人口万人,城镇户籍人口万人,非农业人口数万人,年平均人口万人,年末总户数万户,出生人口人,死亡人口人,自然增长率,常住人口万人,城镇非私营单位从业人员数万人,城镇私营和个体从业人员数人,年末城镇登记失业人员数人,第一产业从业人员数万人,第二产业从业人员数万人,第三产业从业人员数万人,第一产业从业人员比重,第二产业从业人员比重,第三产业从业人员比重,农林牧渔业从业人员数万人,采掘业从业人员数万人,制造业从业人员数万人,电力煤气及水生产供应业从业人员数万人,建筑业从业人员数万人,交通仓储邮电业从业人员数万人,信息传输计算机服务和软件业从业人员数万人,批发零售贸易业从业人员数万人,住宿餐饮业从业人员数万人,金融业从业人员数万人,房地产业从业人员数万人,租赁和商业服务业从业人员数万人,科研技术服务和地质勘查业从业人员数万人,水利环境和公共设施管理业从业人员数万人,居民服务和其他服务业从业人员数万人,教育业从业人员数万人,卫生社会保险和社会福利业从业人员数万人,文化体育和娱乐业从业人员数万人,公共管理和社会组织从业人员数万人,地质勘察水利管理业从业人数万人,交通仓储邮电通信业从业人员数万人,批发零售贸易餐饮业从业人员数万人,社会服务业从业人员数万人,卫生体育社会福利业从业人员数万人,教育文艺广播影视业从业人员数万人,科研综合技术服务业从业人员数万人,机关和社会团体从业人员数万人,城镇非私营单位在岗职工平均人数万人,城镇非私营单位在岗职工工资总额万元,城镇非私营单位在岗职工平均工资元,行政区域土地面积平方公里,年末耕地总资源千公顷,人均占有耕地面积亩,人口密度人平方公里,水资源总量万立方米,地区生产总值增长率,粮食产量万吨,油料产量万吨,棉花产量万吨,蔬菜产量吨,水果产量吨,肉类产量吨,奶类产量吨,水产品产量吨,禽蛋产量吨,规模以上工业企业数个,内资企业数个,港澳台商投资企业数个,外商投资企业数个,规模以上工业总产值当年价万元,内资企业工业总产值万元,港澳台商投资企业工业总产值万元,外商投资企业工业总产值万元,从业人员年平均人数万人,规模以上工业企业产品销售收入万元,规模以上工业企业利税总额万元,本年应交增值税万元,规模以上工业企业利润总额万元,流动资产年平均余额万元,固定资产净值年平均余额万元,规模以上工业企业流动资产合计万元,规模以上工业企业固定资产合计万元,规模以上工业企业主营业务税金及附加万元,固定资产投资总额万元,房地产开发投资完成额万元,住宅开发投资完成额万元,社会消费品零售总额万元,限额以上批发零售业商品销售总额万元,限额以上批发零售业法人企业数个,当年新签项目合同个数个,当年合同外资金额万美元,当年实际使用外资金额万美元,货物进口额万元,货物出口额万元,地方财政一般预算内收入万元,工商税收万元,地方财政一般预算内支出万元,科学支出万元,教育支出万元,年末金融机构各项贷款余额万元,年末金融机构存款余额万元,城乡居民储蓄年末余额万元,普通高等学校学校数所,普通中学学校数所,小学学校数所,中等职业教育学校数所,普通高等学校专任教师数人,普通中学专任教师数人,小学专任教师数人,中等职业教育学校专任教师数人,普通高等学校在校学生数人,普通中学在校学生数万人,小学在校学生数万人,高中阶段在校学生数人,中等职业教育学校在校学生数人,成人高等学校在校学生数人,每万人在校大学生数人,每万人在校中等职业学生数人,RD人员人,RD内部经费支出万元,专利申请数件,专利授权数件,发明专利授权数件,公共图书馆个,剧场影剧院数个,公共图书馆图书总藏量千册件,每百人公共图书馆藏书册件,博物馆数个,体育场馆数个,卫生机构数个,医院卫生院数个,医院卫生院床位数张,执业助理医师数人,客运总量万人,铁路旅客运量万人,公路客运量万人,水运客运量万人,民用航空客运量人,货运总量万吨,铁路货物运量万吨,公路货运量万吨,水运货运量万吨,民用航空货邮运量吨,年末邮政局所数处,邮政业务收入万元,电信业务收入万元,本地电话年末用户数万户,移动电话年末用户数万户,国际互联网用户数户,全年用电量万千瓦时,工业用电万千瓦时,城镇居民生活用电量万千瓦时,境内公路总里程公里,高速公路里程公里,工业废水排放量万吨,工业废水排放达标量万吨,工业二氧化硫去除量吨,工业二氧化硫排放量吨,工业烟尘去除量吨,工业烟尘排放量吨,工业二氧化硫产生量吨,工业烟粉尘去除量吨,工业烟粉尘排放量吨,工业氮氧化物排放量吨,工业颗粒物排放量吨,生活污水处理率,生活垃圾无害化处理率,工业固体废物综合利用率,一般工业固体废物综合利用率,污水处理厂集中处理率,细颗粒物PM25年平均浓度微克立方米,保险业承保额万元,城镇职工基本养老保险参保人数人,职工基本医疗保险参保人数人,失业保险参保人数人,提供住宿的社会工作机构数个,养老机构数个,提供住宿的社会工作机构床位数张,养老机构床位数张
2019.11,天津市,15.1,1.410e+08,1847624,49688392,89503984,1.3099999,35.23,63.459999,90371,1108,811,675.49994,1087,406,106604,75752,2.8,1394.6667,269,1997733,260900,0.25,102.4,166.7,0,38,62,0,6,67,4,25,15,7,20,6,20,11,15,11,4,7,20,12,2,18,1,13,0.35814316,29,7,37,22,12,250,27905678,111602,11967,352,1,898,80900,4.8000002,252.09996,0.60000002,0.70287945,4995000,302000,507000,703000,603000,201000,4614,3454,223,937,2.488e+08,2.112e+08,12628022,50003213,257,3.129e+08,5802125,3414157,12120302,1.321e+08,96195411,1.057e+08,9078518,3125954,1.188e+08,27278199,22000095,42182097,3.070e+08,6444,711,5240256,473161,6285159,4379373,24102520,856085,35087128,1099548,4669789,3.487e+08,3.070e+08,1.264e+08,56,527,877,74,32651,44929,46497,7162,547750.5,46,70,229597,38566,71814,507,130,143888,4629716,96045,57799,5025,31,17,20990,197,68,,18383,441,60990,46421,10523.962,5362,12206,1,20690000,46896,11002,36710,8955,83300,421,1159100,1419332,212,1705,5240000,8784332,5571077,812239,17515,1325,17351,21750,1431478,21346.5,10616217,10127,169769,6361616,22445,45943,11917,110,99,108,99,97.666667,50,2.503e+08,6955700,5950400,3355100,359,345,62611,59741
2015.11,上海市,50.67,2.512e+08,1105432,79917694,1.702e+08,0.44,31.809999,67.760002,103796,1442.97,1133,1353.9009,1440.83,534,156408,127680,-1.3,2489.6667,723,5868877,241000,5.8499999,245.71001,471.32999,1,34,65,6,0,205,5,36,63,28,94,24,34,29,63,26,9,8,34,22,6,31,1,0.79652634,6.8843163,0.96126259,0,0,0,30,682,68853038,100966,6341,82,0,2276,880400,6.9000001,97.799988,1.0999999,0.40000001,3813400,497000,198000,191000,273000,53000,8994,5177,1081,2736,3.132e+08,1.230e+08,45611506,1.447e+08,332,4.668e+08,326025.75,9849179,26805310,2.078e+08,1.234e+08,2.137e+08,86806305,10967853,63493886,34689415,18133187,1.013e+08,6.404e+08,5796,6007,1723271,1845923,2.039e+08,1.350e+08,55194964,3639436,61915601,2718505,7673169,5.339e+08,1.038e+09,2.338e+08,67,790,764,98,41570,54962,52321,8337,511623,57.049999,79.870003,274497,119701,153023,355,83,244451,8972110,94754,33498,19381,13,46,75682,524,32,,3710,644,120625,50580,22404,10416,3766,386,84970000,88904,404,40627,49770,1449300,537,574487,5317909,797,3260,6950000,14469958,8342412,1958991,12087,815,46900,12379,175974,104900,2662880,68508,,,111400,61577,11396.5,91,100,101,96,91,45,9.015e+09,14114400,14463700,6417700,647,666,161554,156494
2011.09,烟台市,7.21125,49068300,3616334,28307502,17144464,7.3699999,57.689999,34.939999,70380,651.79999,349,309.34998,651.5,237,161094,250816,-0.2,731,106,656954,49123,0.28,67.559998,38.130001,0,64,36,0,6,52,2,7,3,1,4,1,4,2,1,1,1,0,9,4,1,7,0,3,4,2,3,9,1,5,103,3884763,37790,13746,390,1,474,,12.1,260.79999,45.299999,0.036,1929400,5117100,469400,224400,1861762,288900,2861,2061,208,592,1.116e+08,69216956,6608788,35813830,89,1.211e+08,2744014,2288702,9036955,25562375,22552683,28103130,24447096,406940,28838001,5689678,4382174,16570800,18008820,1121,209,406406.78,133891,20328027,20189941,3031922,302582,4075326,127111,766963,29634143,43791416,23659536,10,291,429,64,7509,31335,17388,7976,146463,35.02,26.07,257279,102489,29104,225,157,33620,2048464,,,482,13,24,5530,85,27,51,5309,283,33514,15891,33875,409,32753,579,1340000,20866,2362,14451,4051,23500,270,49085,528419,172,788,959800,2403354,1832001,91792,19879,688,8875,9172,225808,88186,1495204,16983,379429,4730749,33790,74335,67226,93,96,83,78,93,59,50958176,1276300,2537411,955871,92,209,4360,2057
2023.04,潍坊市,10.85,76060000,6746522,30880360,38433118,8.8699999,40.599998,50.529999,80970,916,496,416.89038,936,304,19997,64090,0.08816806,937,92,844330,30552,0.01000001,31.049995,53.890003,0,38,62,0,0,27,1,4,2,1,4,1,7,2,6,1,1,0,11,6,0,19,0,0,0,2,3,11,0,6,90,8672911,100187,16143,815,1,586,160000,5.0999999,372.33997,22.349997,0.16223784,11329900,2254287.9,1060000,118800,372456,208900,4300,4038,113,149,1.746e+08,1.654e+08,8698159,506529,103,1.838e+08,145195.51,178819.9,4812434,54209498,41163020,73551032,19739990,915861,92833509,12123582,10404851,29361243,49936712,2938,360,235055,12340.648,11007940,23023404,6083166,319917,8893794,159318,2164704,1.087e+08,1.343e+08,78123324,16,367,631,70,13997,43796,41945,10190,290731,46,72,137260,89225,43138,734,12.791308,19796,1079825,35795,24641,4991,12,56,9020,2399,82,7,13746,280,57301,33609,9783.5525,677,402.05009,,344883.37,2113,343,25048,6679,4866.4372,267,615000,752017,16.160255,1112,3770000,7600894,5626839,431545,29759,867,2206.1669,72313,881107,5942,4103114,45412,1323958,760874,5843.5639,17382,5960,8.6820566,100,116,50,99,37,1.127e+08,2893509,2399774,1334831,189,182,32319,31903
2023.1,菏泽市,12.25,44640000,4222944,17994384,22427136,9.46,40.310001,50.240002,51557,1015,467,185.98981,1042,345,27228.135,87700,0.49672417,864,45,25442.131,37696,0.01005001,3.6269951,37.359997,0,3,101,0,1,0.85791327,5,0,1,0,1,0,2,1,0,0,1,0,14,5,0,20,0,0,0,1,3,9,0,8,42,3813570,90913,12155,694,1,842,220000,6.8000002,655.57001,22.390005,16.016998,11689700,1442901.9,920200,309000,70827,805700,2604,2566,18,20,1.315e+08,1.221e+08,6205195,3222144,72,77168703,38957.326,175557.59,5628451,9404963,30396593,20907840,2757923.5,98116,22322157,4185113,2952936,21002480,18326482,895,111,29878.016,34738.517,3725766,3613652,3165081,15528,7349896,45078,1485109,45523149,70895047,52011450,4,453,1332,85,3029,49026,49067,9203,67145,76,91,102239,133033,1822,145,34,2266,187866,9218,6423,687,20,41,2600,13,28,27,11373,245,46051,26350,3425,453,219.82595,,,15338,463,14268,9.5090033,,187,426800,513255,0,910,3180000,3184832,1755896,277701,30262,590,6183,78336,508103,6986,1212729,7359,331405,2780025,1646,10435,2293,191,100,100,101,98,46,21908497,1232712,779610,510063,190,190,36728,36728
2023.1,东营市,35.8,38990000,1953399,22228199,14808402,5.0100002,57.009998,37.98,176628,198,116,102.13007,201,69,4985.8168,13141,2.566411,221,37,86813,16280,0.07,15.950006,22.650002,0,41,59,0,5,7,0,4,1,0,1,0,1,5,3,1,0,0,3,6,0,8,0,1,1,22,1,2,0,2,35,4823921,124812,8243,212,2,256,30000,7,231.7,0.07332548,0.14247258,20731.171,231366.96,374500,527000,313030,2034.729,999,951,20,28,1.435e+08,1.391e+08,1034808,3446379,110,1.967e+08,4922139,1759479,3863304,39984166,49675600,49976565,43308647,1370770,424027.47,2583247,2783420,8420134,57442986,1429,123,18408,58833,18469581,6569446,2846259,126040,3817284,31723,851869,41698826,59334931,27042176,4,105,99,10,2350,12861,9514,1856,49868,13,16,50453,26784,57,261,162,25597,691582,12115,6374,1809,6,2,3600,105,14,133,2104,77,12399,9476,1096.8487,0,243,3.9960015,1640000,579.02999,22,8840,69.784341,5504,93,103543,236207,5.5912051,306,1080000,4085311,3502257,221912,9361,237,9822,16799,2576743,7083,2939930,372.13795,1448334,2736599,960.59137,14788,1875,179,100,93,69,99,35,30966172,679112,548663,380767,98,72,10331,8944
2023.1,淄博市,71.6,45620000,1943412,22212378,21468772,4.2600002,48.689999,47.060001,97267,428,268,415.21024,434,158,8638.4636,2429.9352,0.60000014,467,68,98584,4056,0.58000001,7.6780487,37.619997,0,28,72,0,1,2.5737398,2,7,1,6,0,0,7,1,6,1,1,0,6,4,0,11,0,1,0,1,2,5,0,4,62,6480047,103064,5965,142,1,745,120000,5.46,101.49007,2.0300002,0.19699998,135207.09,119045.65,175100,126000,16284,95400,2080,1978,45,57,1.814e+08,1.566e+08,4545886,20283608,2.1094859,1.610e+08,500864.8,356075.98,2939392,24020128,35874986,36032074,20885500,1377906,56773348,4885683,4198678,14181147,49578112,2381,243,65363.317,56630.777,4115874,6249887,3953042,323929,5503295,82100,1188470,52632238,74724075,43754490,7,194,252,20,6623,22640,16390,2051,206748,25,26,79083,30723,37033,368,10.373151,5137.229,245706.44,6812,13074,2536,9,8,3620,98,85,2.0616241,5641,157,29674,19305,1782.2283,1566,63.633827,,,11221.865,1059,16981,,,158,236010,417541,4.1518195,574,1900000,4350269,3467572,247582,11638,400,3611.6755,42064,1500427,3831,4955404,43848,629532,1005012.9,1153,12299,3937,131,100,169,55,98,41,23530179,1804447,1580244,952164,180,179,22913,22392
2011.09,滨州市,16.45,18175833,1781232,9722253,6672348,9.8000002,53.490002,36.709999,48326,380.70001,214,170.56003,379.20001,107,217918,209688,5.4000001,402,42,201395,13755,0.1,27.809999,13.72,0,67,33,0,0,24,1,3,0,0,1,0,1,0,0,0,0,0,3,1,0,5,0,0,0,0,1,4,0,3,41,1373478,33713,9600,368,2,397,384624,11.98,309.39999,0.83999997,15.707,1845900,1575700,454100,132700,391693,239200,883,824,23,36,47009565,42927298,2740802,1341465,35,44830794,44284.877,1108574,2672682,12757804,13244124,15524388,12762038,143215,10106949,1062811,793356,5057549,4786004,421,20,85216,104274,1864106,2511548,1307601,19586,2011716,28282,438849,12564889,13096893,5867224,3,162,395,28,2797,15340,16020,3340,46533,19.379999,26.34,111410,68724,17552,122,181,33720,1529094,,,190,8,8,1291,34,5,,1949,149,17440,6954,6249,4,6245,,,12863,82,12709,72,,126,22011,156837,81,356,410400,,,,12843,367,14182,15437,138551,84667,2340482,14019,115957,2052795,21878,208552,20240,98,94,100,81,92,124,10751403,434990,562589,202604,58,51,18341,18275
2011.09,德州市,10.37,19507100,2295986,10598207,6612907,11.77,54.330002,33.900002,34905,576,61,204.09999,573.09998,160,325418,314599,8.8000002,582,38,202545,20000,0.47,17.209999,20.799999,1,45,54,0,0,13,1,3,1,0,2,0,2,0,0,0,1,0,6,2,0,7,0,1,0,1,2,6,0,6,36,1036273,28399,10356,541,1,556,295100,11.7,735,1.86,14.309,4502500,753600,656500,170200,88721,397600,3144,3047,23,74,51867129,48784761,224226,2214338,51,46344782,3717627,2038565,4184656,10866917,12850149,10195341,13396660,551509,11536588,1176358,960224,7575235,7538620,700,28,25569,19033,,786693,950634,25286,1763347,26049,417659,9951654,14200241,9184373,4,199,982,33,2529,17694,26846,3136,39591,18.620001,46.18,117909,80253,5747.6667,69,139,,,,,440,12,14,1117,19,15,19,3448,163,15934,8357,11166,313,10853,86,,15945,238,15707,,,233,32700,265675,126,418,426236,122734,,,24480,411,7858,18704,238623,89760,3403250,22899,276317,3084014,20229,31646,17681,104,99,97,91,86,126,20222079,529400,1355400,277857,42,38,9519,9049
2011.09,沧州市,18.28333333,25851998,2957469,13587810,9306719,11.44,52.560001,36,36053,734.79999,286,236.37999,732.90002,228,289773,722885,6.4000001,742,49,372000,23117,0.66000003,17.969999,29.950001,1,37,62,1,3,8,2,6,2,0,1,0,2,1,0,1,1,1,9,3,0,8,0,2,0,1,2,8,0,0,44,1598219,36200,14053,612,2,523,77345,12.3,494.29999,9.7299995,13.806,5004000,2114100,455800,111800,122035,335000,1610,1503,28,79,37073550,31973163,1172803,3927584,33,35711308,13559.333,1046821,3515999,6326123,8713480,8238870,12413750,993965,15303896,1527940,1204801,6838304,5020315,315,14,35287,29279,,2978578,1164888,23232,2643508,11325,543775,10884225,23000914,15496754,7,332,1360,48,2505,23072,35517,4128,49020,30.219999,51.68,167986,57572,1345,67,78,,,,,272,14,10,848,12,10,30,1144,289,23649,12264,10111,197,9914,,,26003,329,24487,1187,,249,37223,368155,126,521,628629,553877,417092,,17208,610,11366,5977,92872,43616,1517231,6997,135489,1654560,58812,16757,3261,93,90,100,0,100,88,2.198e+08,705625,1032800,345700,58,44,25251,23512
